id,type,attributes.bearing,attributes.carriages,attributes.current_status,attributes.current_stop_sequence,attributes.direction_id,attributes.label,attributes.latitude,attributes.longitude,attributes.occupancy_status,attributes.revenue,attributes.speed,attributes.updated_at,links.self,relationships.route.data.id,relationships.route.data.type,relationships.stop.data,relationships.trip.data.id,relationships.trip.data.type,relationships.stop.data.id,relationships.stop.data.type
y2012,vehicle,0.0,[],IN_TRANSIT_TO,,,2012,42.38403,-71.07611,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:48-04:00,/vehicles/y2012,Shuttle-Generic-Red,route,,BL-110028140,trip,,
y1723,vehicle,213.0,[],IN_TRANSIT_TO,15.0,1.0,1723,42.356011,-71.062625,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y1723,43,route,,71466959,trip,10000,stop
y2094,vehicle,,[],STOPPED_AT,1.0,1.0,2094,42.415638,-71.032942,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:58-04:00,/vehicles/y2094,111,route,,71994074,trip,5547,stop
ynk336,vehicle,237.0,[],IN_TRANSIT_TO,,,336,42.351816,-71.074208,,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/ynk336,Shuttle-Generic,route,,BL-118935266,trip,,
y2024,vehicle,212.0,[],IN_TRANSIT_TO,20.0,1.0,2024,42.3966,-71.04121,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y2024,112,route,,71993567,trip,5045,stop
G-10073,vehicle,225.0,"[{'label': '3827', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3692', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,440.0,0.0,3827-3692,42.33625,-71.14902,,REVENUE,,2025-10-28T12:42:03-04:00,/vehicles/G-10073,Green-C,route,,ADDED-1583224051,trip,70237,stop
R-5486369E,vehicle,85.0,"[{'label': '1725', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1724', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1630', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1631', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1746', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1747', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",IN_TRANSIT_TO,80.0,1.0,1725,42.30028,-71.05982,,REVENUE,,2025-10-28T12:44:13-04:00,/vehicles/R-5486369E,Red,route,,70954035,trip,70088,stop
y0804,vehicle,354.0,[],IN_TRANSIT_TO,65.0,1.0,0804,42.245497,-71.000186,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:14-04:00,/vehicles/y0804,230,route,,71987620,trip,3422,stop
ynk255,vehicle,,[],IN_TRANSIT_TO,,,255,42.336655,-71.253363,,REVENUE,,2025-10-28T12:42:40-04:00,/vehicles/ynk255,Shuttle-Generic,route,,BL-80039384,trip,,
y2107,vehicle,125.0,[],IN_TRANSIT_TO,17.0,1.0,2107,42.402876,-71.158694,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y2107,67,route,,71694771,trip,2478,stop
ynk345,vehicle,239.0,[],IN_TRANSIT_TO,,,345,41.902115,-71.100896,,REVENUE,,2025-10-28T12:45:13-04:00,/vehicles/ynk345,Shuttle-Generic,route,,BL-75565530,trip,,
y2028,vehicle,99.0,[],IN_TRANSIT_TO,18.0,0.0,2028,42.405311,-71.030168,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y2028,111,route,,71993897,trip,5628,stop
y3317,vehicle,,[],STOPPED_AT,15.0,1.0,3317,42.374963,-71.038521,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:42-04:00,/vehicles/y3317,120,route,,71826140,trip,5854,stop
