route_id,accuracy,precision,recall,f1,selection_rate
1,1.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0
100,1.0,0.0,0.0,0.0,0.0
101,1.0,0.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0,0.0
105,1.0,0.0,0.0,0.0,0.0
106,1.0,0.0,0.0,0.0,0.0
108,1.0,0.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0,0.0
111,1.0,0.0,0.0,0.0,0.0
112,1.0,0.0,0.0,0.0,0.0
114,1.0,0.0,0.0,0.0,0.0
116,1.0,0.0,0.0,0.0,0.0
119,1.0,0.0,0.0,0.0,0.0
120,1.0,0.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0,0.0
132,1.0,0.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0,0.0
137,1.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0
201,1.0,0.0,0.0,0.0,0.0
202,1.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0
210,1.0,0.0,0.0,0.0,0.0
211,1.0,0.0,0.0,0.0,0.0
215,1.0,0.0,0.0,0.0,0.0
216,1.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0
220,1.0,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0
226,1.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0
230,1.0,0.0,0.0,0.0,0.0
236,1.0,0.0,0.0,0.0,0.0
238,1.0,0.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0,0.0
240,1.0,0.0,0.0,0.0,0.0
245,1.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0,0.0
34E,1.0,0.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0,0.0
350,1.0,0.0,0.0,0.0,0.0
354,1.0,0.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0,0.0
411,1.0,0.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0,0.0
426,1.0,0.0,0.0,0.0,0.0
429,1.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,0.0
430,1.0,0.0,0.0,0.0,0.0
435,1.0,0.0,0.0,0.0,0.0
436,1.0,0.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0,0.0
441,1.0,0.0,0.0,0.0,0.0
442,1.0,0.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0,0.0
450,1.0,0.0,0.0,0.0,0.0
451,1.0,0.0,0.0,0.0,0.0
455,1.0,0.0,0.0,0.0,0.0
456,1.0,0.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0,0.0
